Day,Sales,Operating Expense (Accumulated) (USD),Trading Profit (Accumulated) (USD),Net Profit (Accumulated) (USD)
40,1051694,3732081,11128149,7396068
41,1067624,3822722,11261558,7438836
42,1117277,3898594,11680845,7782251
43,1185558,3979971,12329091,8349120
44,1190480,4070817,12406044,8335227
45,1217271,4145524,12682865,8537341
46,1262066,4249529,13100065,8850536
47,1289812,4352472,13216263,8863791
48,1355672,4425384,13502277,9076893
49,1365356,4498200,13946558,9448358
50,1479870,4602407,14302714,9700307
